"ID"	"ETA"	"AGE"	"GENDER"	"STUDY"	"STUDYAGE"	"TRUEETA"	"STUDYETA"	"ZETA"	"W"	"Z1"	"Z2"	"Z3"	"Z4"	"BIN_1"	"BIN_2"	"BIN_3"	"BIN_4"	"BIN_5"	"BIN_6"	"BIN_7"	"BIN_8"	"BIN_9"	"BIN_10"	"BIN_11"	"BIN_12"
100011	0.734	1	-1	-1	-1	0.687391759	-0.687391759	0.787391759	0.2171701719	9.2865534018	8.2652121455	17.659618304	10.47240957	0	1	1	1	0	0	1	0	1	1	0	0
100012	-1.404	0	1	-1	0	-1.620642897	1.6206428974	-1.040642897	-0.296672523	6.1801488364	10.562204324	7.9571891005	9.1204275374	0	0	0	0	0	0	0	0	0	0	0	0
100013	-0.708	0	-1	-1	0	-1.143551313	1.1435513127	-0.563551313	0.2742870833	9.0444538121	4.6903640224	9.5206063927	11.710038383	1	0	0	0	0	0	1	0	0	0	0	0
100014	-1.889	-2	-1	-1	2	-0.907009248	0.9070092477	0.6329907523	0.189753529	8.2622020832	12.555049339	11.32127836	7.2452776437	0	0	0	0	0	0	0	0	0	0	0	0
100015	-1.27	1	1	-1	-1	-0.503059136	0.503059136	-0.403059136	0.4558677349	9.9549230589	12.096564889	7.8084775137	7.4282994398	0	0	0	0	0	0	0	0	0	0	0	0
100016	-0.944	-2	1	-1	2	-1.427581386	1.4275813861	0.1124186139	-0.933661233	9.667030601	10.820982272	8.6047379061	7.5370112083	0	0	0	1	0	0	0	0	0	0	0	0
100017	-1.189	-1	-1	-1	1	-1.168895954	1.168895954	-0.108895954	-0.047481897	11.976820695	7.9781319536	9.9115280839	6.9458378416	1	0	0	0	0	0	0	0	0	0	0	0
100018	-0.105	-1	1	-1	1	-0.168402606	0.1684026058	0.8915973942	0.4586886813	9.9747033274	11.236363277	9.8494096212	15.163623869	0	0	0	0	0	1	1	0	1	0	0	0
100019	-1.442	0	-1	-1	0	-1.827493829	1.8274938293	-1.247493829	0.0184753946	10.343227979	9.0012545422	10.606061824	8.1846299967	0	0	0	0	0	0	0	0	0	0	0	0
100020	-0.763	1	-1	-1	-1	-1.016292848	1.0162928476	-0.916292848	-0.971847124	7.3170519489	8.5080623444	9.9367391727	9.7995326558	0	0	0	0	0	0	0	1	0	0	0	0
100021	-0.415	0	1	-1	0	-0.136955622	0.1369556218	0.4430443782	-0.506036342	14.390597881	11.145156028	11.322331779	11.631428274	0	0	0	0	0	0	1	0	0	1	0	0
100022	-1.424	0	-1	-1	0	-1.366569879	1.3665698788	-0.786569879	0.3077367227	5.1915879716	15.573155958	6.5755502142	9.039636084	0	0	0	0	0	0	0	0	0	0	0	0
100023	-0.747	-1	-1	-1	1	-0.377613359	0.3776133585	0.6823866415	1.197760869	11.126743101	8.5166428694	13.490947988	11.949114519	0	0	0	0	0	0	1	0	1	0	0	0
100024	-0.15	0	-1	-1	0	-0.22435738	0.2243573799	0.3556426201	0.7288378463	11.47467704	10.553419455	6.5081354943	12.130948756	0	0	0	0	0	0	0	0	0	1	1	0
100025	-0.514	0	-1	-1	0	-0.243144198	0.2431441984	0.3368558016	-0.944247597	5.0815816051	14.840861426	10.714148034	10.929538089	0	0	0	0	0	0	0	0	0	0	0	1
100026	-0.854	0	1	-1	0	-0.955869407	0.9558694067	-0.375869407	-0.679327716	9.4426787036	8.7990743888	8.9543999917	7.9151809237	0	0	0	0	0	0	0	1	0	0	0	0
100027	-0.042	1	-1	-1	-1	-0.334291169	0.3342911688	-0.234291169	-0.012302924	9.8597545888	10.038518075	10.279013074	13.745176132	0	0	0	0	0	0	1	0	1	1	0	0
100028	1.32	3	1	-1	-3	0.9824074976	-0.982407498	0.1224074976	0.7450761584	12.65939743	13.430436242	16.693606034	13.587335474	1	0	0	1	0	0	1	1	0	1	1	1
100029	0.943	1	-1	-1	-1	0.4109480103	-0.41094801	0.5109480103	-0.751029941	7.8466643366	11.494309219	8.6472450861	14.531367879	1	1	0	1	0	0	1	1	0	1	1	0
100030	-0.724	0	-1	-1	0	-0.210204955	0.2102049549	0.3697950451	-1.488647305	11.662598244	16.39728157	9.723127675	6.849313054	1	0	0	0	0	0	1	0	0	0	0	0
100031	-1.387	0	1	-1	0	-2.204223055	2.2042230551	-1.624223055	-1.745604074	7.5694032173	7.335896756	10.219918182	7.2443286256	0	0	0	0	0	0	0	0	0	0	0	0
100032	1.159	2	-1	-1	-2	1.7255447207	-1.725544721	1.3455447207	0.2405269684	10.885564919	13.702976897	13.87933761	8.6450327881	1	0	0	1	1	1	0	1	1	1	0	0
100033	-0.65	0	1	-1	0	-0.517374661	0.517374661	0.062625339	0.2703540046	11.293334329	12.934975612	8.9755039133	11.772465032	1	0	0	0	0	0	1	0	0	0	0	0
100034	-1.884	-2	-1	-1	2	-1.534090868	1.5340908679	0.0059091321	0.4066026744	3.3073655753	7.3114720574	7.3408144545	6.7367712192	0	0	0	0	0	0	0	0	0	0	0	0
100035	-1.445	0	-1	-1	0	-1.812752858	1.8127528576	-1.232752858	-1.511956614	9.884899816	8.0394623908	5.3215142654	7.5047037561	0	0	0	0	0	0	0	0	0	0	0	0
100036	-1.607	-1	1	-1	1	-0.646125168	0.6461251683	0.4138748317	-0.619142648	15.034838696	7.3134224555	13.093199831	5.5430163567	0	0	0	0	0	0	0	0	0	0	0	0
100037	0.372	1	-1	-1	-1	0.0420491968	-0.042049197	0.1420491968	-0.194022754	11.674914103	10.09843824	10.160478221	10.785080104	1	1	0	0	0	0	1	1	0	1	0	0
100038	-1.861	-2	1	-1	2	-1.717749216	1.7177492157	-0.177749216	-0.920333571	7.0428624884	8.5420024991	7.8510190145	11.538062722	0	0	0	0	0	0	0	0	0	0	0	0
100039	-0.741	-1	1	-1	1	-0.679165482	0.6791654817	0.3808345183	-1.214178081	8.084720971	7.2908130979	13.514548054	12.049724217	0	0	0	0	0	0	1	1	0	0	0	0
100040	-0.764	0	-1	-1	0	-1.202359786	1.2023597855	-0.622359786	-1.147384936	15.649818366	8.8973624048	9.2300844649	10.092652118	0	0	0	0	0	0	0	0	0	1	0	0
100041	0.432	1	-1	-1	-1	0.8689241534	-0.868924153	0.9689241534	0.2124480703	11.487866404	14.177180876	9.6991835538	15.044323372	0	0	0	0	1	0	1	1	0	0	0	1
100042	0.302	2	1	-1	-2	0.5020163309	-0.502016331	0.1220163309	0.5125363377	11.284381008	11.821668642	13.328849563	9.2095633337	0	0	0	0	0	0	0	1	1	0	1	0
100043	-1.426	0	1	-1	0	-0.838820031	0.838820031	-0.258820031	0.9736317987	7.8710902023	17.966727481	9.1586160606	14.499562941	0	0	0	0	0	0	0	0	0	0	0	0
100044	2.169	3	1	-1	-3	1.7350860795	-1.73508608	0.8750860795	1.2864510395	11.67250523	18.492863127	18.091624874	13.686359806	1	1	0	1	0	1	1	1	1	1	1	1
100045	0.133	3	1	-1	-3	-0.238247355	0.2382473548	-1.098247355	0.4920962905	5.862593284	12.929407438	15.183807142	12.12931611	0	1	1	0	0	0	1	0	0	0	0	0
100046	-1.372	0	1	-1	0	-2.137427466	2.1374274659	-1.557427466	-0.315021412	4.9104575454	12.285535133	12.577983869	12.858212193	0	0	0	0	0	0	0	0	0	0	0	0
100047	-1.635	-1	-1	-1	1	-1.981984419	1.9819844193	-0.921984419	-0.260449414	8.5823417729	7.6418724886	7.2647106944	7.5171827546	0	0	0	0	0	0	0	0	0	0	0	0
100048	-0.271	1	-1	-1	-1	-0.670642154	0.6706421544	-0.570642154	0.9718018513	6.5439762827	8.5134993958	9.7589296201	12.412711956	0	0	0	1	0	0	1	0	0	0	0	0
100049	1.611	1	-1	-1	-1	1.5637813604	-1.56378136	1.6637813604	0.5856493863	12.446600766	13.139475054	13.298877493	13.367170462	1	1	0	1	1	0	0	1	1	1	1	1
100050	-1.452	0	-1	-1	0	-0.766269299	0.7662692992	-0.186269299	-0.823115307	7.1227378018	6.2998513884	11.530106661	10.068240343	0	0	0	0	0	0	0	0	0	0	0	0
100051	-1.627	-1	-1	-1	1	-1.75472763	1.7547276304	-0.69472763	-1.055244754	7.026560439	5.478270869	7.597580026	5.5370027435	0	0	0	0	0	0	0	0	0	0	0	0
100052	1.395	1	1	-1	-1	1.4993491157	-1.499349116	1.5993491157	1.5667898318	13.625607682	14.705556128	14.484898133	16.574312585	1	1	0	1	0	0	1	1	0	1	1	1
100053	1.663	2	1	-1	-2	1.3159347467	-1.315934747	0.9359347467	0.6069474405	12.586212594	15.120618068	18.974631258	11.39205658	1	0	1	0	0	1	1	1	1	1	1	1
100054	1.182	2	1	-1	-2	1.3893472734	-1.389347273	1.0093472734	1.8269526349	8.6798638382	15.332039124	17.638817857	13.322447303	0	0	1	0	0	1	1	1	1	1	1	0
100055	-0.177	-1	1	-1	1	-0.044891151	0.0448911511	1.0151088489	-0.125670824	11.834028634	14.281394828	11.430862324	12.716185681	0	0	1	0	0	0	0	1	1	0	0	0
100056	-1.865	-2	1	-1	2	-1.777458824	1.7774588245	-0.237458824	-0.919254061	6.4322823352	6.8599033901	6.4702604135	12.327933133	0	0	0	0	0	0	0	0	0	0	0	0
100057	-1.635	-1	-1	-1	1	-2.152344291	2.1523442913	-1.092344291	-0.006325127	9.7707527686	9.8705571167	11.973334017	7.7042456748	0	0	0	0	0	0	0	0	0	0	0	0
100058	-0.694	-1	-1	-1	1	-1.878082997	1.8780829965	-0.818082997	-0.536403113	10.5124781	8.4366645896	8.5036124901	4.3611667307	1	0	0	0	0	0	0	0	1	0	0	0
100059	0.221	0	-1	-1	0	0.4733113553	-0.473311355	1.0533113553	0.3451729136	6.0047881438	10.890863755	7.9504075414	8.039540855	0	1	0	0	0	0	1	1	0	0	1	0
100060	-1.64	-1	-1	-1	1	-0.626841294	0.6268412939	0.4331587061	0.0604181692	8.8330034282	9.1381136002	6.4861085334	6.1345578879	0	0	0	0	0	0	0	0	0	0	0	0
100061	2.048	2	1	-1	-2	2.6167396023	-2.616739602	2.2367396023	1.5683203469	10.036143241	20.020930909	17.059429857	17.405886854	1	0	1	1	0	1	1	1	1	1	1	1
100062	0.551	0	-1	-1	0	0.5642127364	-0.564212736	1.1442127364	1.7311436345	3.6196759837	14.099350957	8.3608840463	11.972720312	0	0	0	0	1	1	1	0	1	1	0	0
100063	1.636	2	-1	-1	-2	0.7132730358	-0.713273036	0.3332730358	-0.8312383	8.5238984857	12.424433526	14.044214171	13.177761001	1	1	0	1	1	0	1	0	1	1	1	1
100064	0.453	2	1	-1	-2	0.3384030629	-0.338403063	-0.041596937	-0.081063922	6.3455893055	12.903873219	16.070191285	10.339537294	0	0	1	1	0	0	1	0	1	0	0	0
100065	0.415	2	-1	-1	-2	0.5237265696	-0.52372657	0.1437265696	0.1081953451	9.3206382644	12.7751922	13.27177386	10.956081289	1	0	0	0	1	0	1	0	0	0	1	0
100066	-0.931	1	-1	-1	-1	-1.268055728	1.2680557276	-1.168055728	0.2919506532	13.562577708	9.1548885306	12.791697574	6.9395599854	0	0	0	0	0	0	1	0	0	0	0	0
100067	-1.356	1	-1	-1	-1	-0.552629571	0.5526295712	-0.452629571	1.1869614123	8.2649941818	9.4239354369	9.7356131772	11.649097666	0	0	0	0	0	0	0	0	0	0	0	0
100068	-1.334	1	-1	-1	-1	-0.786205039	0.786205039	-0.686205039	-1.099792211	12.890238001	8.603019514	9.849234483	11.373266545	0	0	0	0	0	0	0	0	0	0	0	0
100069	0.054	1	-1	-1	-1	0.5633361523	-0.563336152	0.6633361523	0.0832632055	13.171281757	11.482013106	15.655158812	11.752112891	0	1	0	0	0	0	1	0	0	0	1	0
100070	-1.634	-1	-1	-1	1	-1.410886688	1.4108866879	-0.350886688	-0.978119268	11.99182013	8.4465667077	10.292500229	9.2635060781	0	0	0	0	0	0	0	0	0	0	0	0
100071	-1.393	0	1	-1	0	-0.435099263	0.4350992634	0.1449007366	0.9318007296	8.6498658205	8.5529560228	9.4359661165	11.993038615	0	0	0	0	0	0	0	0	0	0	0	0
100072	-1.452	0	-1	-1	0	-1.73367418	1.7336741798	-1.15367418	-1.70379034	10.825648866	9.7182623588	11.964224443	7.2096464643	0	0	0	0	0	0	0	0	0	0	0	0
100073	-1.058	0	-1	-1	0	-0.614604044	0.6146040439	-0.034604044	0.3622005461	3.1041603456	8.8740444661	8.3612865758	11.221823627	0	0	0	0	0	0	1	0	0	0	0	0
100074	0.576	1	1	-1	-1	1.2228812581	-1.222881258	1.3228812581	-0.242012435	10.613481343	14.243049339	14.242681456	8.6873900647	1	0	1	0	0	0	1	0	1	0	0	1
100075	0.556	1	1	-1	-1	0.679823959	-0.679823959	0.779823959	0.6411537238	13.662257575	11.867084731	14.043574156	11.832091276	0	0	0	1	0	1	0	0	0	0	0	1
100076	-0.83	1	1	-1	-1	-0.200707118	0.2007071176	-0.100707118	-0.759536643	9.5639167731	15.994141035	9.0629703397	8.3120844534	1	0	0	0	0	0	0	0	0	0	0	0
100077	0.506	2	-1	-1	-2	0.019313131	-0.019313131	-0.360686869	-1.841609868	6.7572114554	14.251639551	10.309296408	10.082202096	0	0	0	0	0	0	0	1	1	1	0	1
100078	1.932	3	-1	-1	-3	1.7388898479	-1.738889848	0.8788898479	1.0227483243	10.224663877	13.735220878	13.174197735	10.715540723	0	1	0	1	1	1	1	1	0	1	1	1
100079	-1.876	-2	-1	-1	2	-1.490441827	1.4904418273	0.0495581727	2.4567633474	10.031611024	9.4550162555	9.8792607904	9.9265706203	0	0	0	0	0	0	0	0	0	0	0	0
100080	0.227	0	-1	-1	0	0.4210786968	-0.421078697	1.0010786968	0.2762683248	10.873507389	10.196928741	8.1864559073	9.4537132024	0	1	0	0	0	0	0	1	1	1	0	0
100081	-1.01	0	-1	-1	0	-0.567858626	0.5678586259	0.0121413741	0.5753226143	8.0561531019	11.280620137	10.829078396	9.266251903	1	0	0	0	0	0	0	0	0	0	0	0
100082	-0.574	0	-1	-1	0	-0.29726418	0.2972641798	0.2827358202	-0.552127686	11.108423232	10.247312623	11.27040351	8.3309760282	0	0	0	0	0	0	1	0	1	0	0	0
100083	-0.206	0	-1	-1	0	0.4380142038	-0.438014204	1.0180142038	2.8876147543	13.523139048	5.1423936585	11.630316452	14.133574594	0	0	0	0	0	1	0	0	1	0	0	0
100084	-1.274	-1	-1	-1	1	-1.90623246	1.9062324603	-0.84623246	-1.014517127	6.6515738965	7.7052757897	9.4432544714	6.6964411095	0	0	0	0	0	0	1	0	0	0	0	0
100085	-0.676	1	-1	-1	-1	-1.635249295	1.6352492953	-1.535249295	0.4907480335	6.0414842698	12.896248225	2.4896082789	7.2377911784	0	1	0	0	0	0	0	0	0	0	0	0
100086	1.349	3	-1	-1	-3	0.7586868112	-0.758686811	-0.101313189	0.0596295495	8.8310174157	16.273691529	15.100263481	16.047649528	1	0	0	1	0	1	1	1	1	1	0	1
100087	-1.079	0	-1	-1	0	-0.315708171	0.3157081714	0.2642918286	-0.446105048	10.282591819	9.692231175	10.661514948	12.174509516	0	0	0	0	0	0	1	0	0	0	0	0
100088	-0.42	1	1	-1	-1	-0.831274662	0.8312746623	-0.731274662	0.9340708544	7.1861591668	11.110987195	7.1738337852	14.495530944	0	0	0	1	0	0	0	0	0	0	0	0
100089	-1.062	0	-1	-1	0	-2.224440238	2.2244402378	-1.644440238	0.3341647439	8.6134453667	9.451838864	7.4110784329	9.4311359997	0	0	0	0	0	0	1	0	0	0	0	0
100090	-1.245	-2	1	-1	2	-0.620045259	0.6200452587	0.9199547413	-0.235110403	7.6833168875	12.720844902	11.601697546	10.086047746	0	0	0	0	0	0	0	0	1	0	0	0
100091	-1.766	-1	-1	-1	1	-2.738391545	2.7383915452	-1.678391545	-0.837679309	6.1480216683	8.5927349666	8.4305353189	7.5906546767	0	0	0	0	0	0	0	0	0	0	0	0
100092	-1.611	-1	1	-1	1	-1.223042111	1.2230421106	-0.163042111	-1.515581212	9.9360279652	14.266420281	13.510077369	6.5801607864	0	0	0	0	0	0	0	0	0	0	0	0
100093	-1.494	-2	-1	-1	2	-1.155714271	1.1557142708	0.3842857292	0.2651201439	8.1938557879	10.390106428	6.7051382211	12.461424353	0	0	0	0	0	0	1	0	0	0	0	0
100094	1.065	2	-1	-1	-2	0.5531960498	-0.55319605	0.1731960498	0.4241125282	9.9846234413	11.489668746	17.541780257	12.88125952	1	1	0	1	1	0	1	1	0	0	1	0
100095	-0.579	1	-1	-1	-1	-0.592395055	0.5923950551	-0.492395055	-0.08711694	5.1383046305	11.144880464	11.824889874	15.772621018	1	0	0	0	0	0	1	0	0	0	0	0
100096	-1.621	-1	1	-1	1	-1.227758172	1.2277581723	-0.167758172	1.5456656274	8.097690031	6.8867914235	6.1757592452	14.472691978	0	0	0	0	0	0	0	0	0	0	0	0
100097	-1.659	-1	-1	-1	1	-2.3585158	2.3585157997	-1.2985158	-1.16910229	7.1646738914	9.4920615227	10.087524881	6.8568055175	0	0	0	0	0	0	0	0	0	0	0	0
100098	-0.662	1	-1	-1	-1	0.2588098907	-0.258809891	0.3588098907	-0.565193134	6.1243942746	14.563738614	9.7090366214	13.148600634	0	1	0	0	0	0	0	0	0	0	0	0
100099	-0.142	2	-1	-1	-2	0.1066848812	-0.106684881	-0.273315119	-0.629045622	9.2836975527	13.722281313	13.021761031	11.795880688	1	0	0	1	0	0	0	0	0	0	0	0
100100	-0.052	0	-1	-1	0	0.2657814918	-0.265781492	0.8457814918	0.7337694786	10.469057845	12.081743157	10.358401584	15.297897715	0	0	0	0	0	0	0	1	1	1	0	0
100101	-1.312	1	-1	-1	-1	-0.55546148	0.5554614801	-0.45546148	0.0558911361	9.4622871818	4.2831511002	15.222346277	9.4249688531	0	0	0	0	0	0	0	0	0	0	0	0
100102	-1.637	-1	-1	-1	1	-1.77059946	1.7705994598	-0.71059946	-0.389320496	4.2912488378	8.8788267568	10.928440437	2.7919775738	0	0	0	0	0	0	0	0	0	0	0	0
100103	-1.399	0	1	-1	0	-0.858388699	0.858388699	-0.278388699	0.2946727787	9.8495869025	9.5665515296	9.36140624	14.010814619	0	0	0	0	0	0	0	0	0	0	0	0
100104	-1.036	0	-1	-1	0	-0.220923429	0.2209234293	0.3590765707	2.4690101277	11.208735929	12.765743074	6.2192073853	14.739025054	1	0	0	0	0	0	0	0	0	0	0	0
100105	-1.642	-1	-1	-1	1	-1.333339825	1.3333398254	-0.273339825	0.2468222193	9.0758717321	11.475150627	8.0576503132	13.151235181	0	0	0	0	0	0	0	0	0	0	0	0
100106	0.23	1	-1	-1	-1	1.2070363969	-1.207036397	1.3070363969	1.3652202035	6.7436688152	13.752714533	12.700072297	13.516695988	0	0	0	0	0	0	0	0	1	1	0	1
100107	1.228	2	1	-1	-2	1.0185133578	-1.018513358	0.6385133578	-0.098353418	12.035817584	13.751541274	15.989448567	17.397766071	1	0	0	1	0	0	1	1	1	0	1	1
100108	-1.45	0	-1	-1	0	-2.66926245	2.6692624498	-2.08926245	-0.422366132	8.1252117997	7.9448144213	8.6077820346	5.413296416	0	0	0	0	0	0	0	0	0	0	0	0
100109	-1.219	-1	-1	-1	1	-0.967460076	0.9674600762	0.0925399238	-1.455440473	8.0260141963	12.938563818	8.7669047277	9.5924654073	1	0	0	0	0	0	0	0	0	0	0	0
100110	-0.735	-1	-1	-1	1	-1.225793829	1.2257938295	-0.165793829	-1.487004223	8.3923011908	6.2622327111	13.73783125	5.2901301759	0	0	0	0	0	0	1	0	1	0	0	0
100111	0.226	0	-1	-1	0	-0.400604862	0.4006048617	0.1793951383	-0.318493252	10.995847686	8.3172612961	11.073812988	11.074500454	0	0	0	0	0	0	1	1	1	0	0	1
100112	-1.87	-2	1	-1	2	-3.062933216	3.0629332158	-1.522933216	-2.329226478	3.6719818366	8.4228739037	8.3032930188	1.4625783332	0	0	0	0	0	0	0	0	0	0	0	0
100113	-1.638	-1	1	-1	1	-1.624432409	1.6244324087	-0.564432409	-0.132496309	11.263349534	6.6105703516	4.9360659145	8.9581862974	0	0	0	0	0	0	0	0	0	0	0	0
100114	1.741	1	-1	-1	-1	1.4873166132	-1.487316613	1.5873166132	1.0395300985	9.0222264358	16.120508928	16.654728288	9.6609234389	1	1	0	1	1	1	0	1	0	1	1	1
100115	0.512	-1	-1	-1	1	0.8088379804	-0.80883798	1.8688379804	3.4096585219	15.405583965	12.512960894	11.088271464	15.966279661	1	1	0	0	1	0	0	0	0	1	0	1
100116	0.725	1	1	-1	-1	0.8050893042	-0.805089304	0.9050893042	-0.378481827	8.9144214084	13.061250107	14.529007599	9.770679111	1	0	1	0	0	0	1	1	1	0	1	0
100117	0.15	0	-1	-1	0	0.0946704561	-0.094670456	0.6746704561	-0.397760853	11.793575093	10.964694721	10.988260783	5.1705158278	1	1	0	0	0	0	1	0	0	0	1	0
100118	-1.213	-1	1	-1	1	-1.070198047	1.0701980467	-0.010198047	-0.315739545	15.418796853	9.9538500383	9.4891744586	8.8662532618	0	0	0	0	0	0	1	0	0	0	0	0
100119	0.276	1	-1	-1	-1	0.7864711181	-0.786471118	0.8864711181	-0.500584767	9.2607055019	9.0406514843	11.896809556	9.7947569459	0	0	0	1	0	1	0	1	0	0	0	0
100120	1.24	3	1	-1	-3	0.9207172681	-0.920717268	0.0607172681	0.2232070927	13.130296369	13.810025703	13.076672973	15.681882315	0	0	1	1	0	1	1	1	1	1	0	0
100121	-1.254	-1	-1	-1	1	-0.660940568	0.6609405683	0.3990594317	1.8876525364	4.8506611818	8.3536216933	8.5948865455	7.564713907	0	0	0	0	0	0	1	0	0	0	0	0
100122	-1.065	0	-1	-1	0	-1.120186689	1.120186689	-0.540186689	0.9252808173	11.305571375	9.1632364321	5.9469765722	8.8873786605	0	0	0	0	0	0	1	0	0	0	0	0
100123	-1.669	-1	-1	-1	1	-1.712441437	1.712441437	-0.652441437	0.7632746214	7.1350540409	11.602304736	9.7057256399	10.211187898	0	0	0	0	0	0	0	0	0	0	0	0
100124	-1.069	0	-1	-1	0	-0.744475451	0.744475451	-0.164475451	-0.916586597	10.681867987	7.9413723611	12.174758971	8.6167653857	1	0	0	0	0	0	0	0	0	0	0	0
100125	-1.615	-1	1	-1	1	-2.011037183	2.0110371832	-0.951037183	-0.354870876	4.6225901903	7.77208359	12.676431576	5.2547006994	0	0	0	0	0	0	0	0	0	0	0	0
100126	0.068	0	-1	-1	0	0.5427998814	-0.542799881	1.1227998814	0.4844564159	8.005669551	14.541535166	12.014242393	14.31312119	0	1	0	1	0	0	0	1	0	0	0	0
100127	1.295	2	1	-1	-2	0.8238537898	-0.82385379	0.4438537898	-0.046078135	12.277642766	13.824338923	16.562728292	13.420188837	0	0	0	1	0	1	0	1	1	0	1	1
100128	-0.413	-1	-1	-1	1	0.2428468323	-0.242846832	1.3028468323	0.6902438369	10.883229119	9.7566933196	14.401479746	10.417653085	0	0	0	0	0	0	0	1	0	0	1	0
100129	-1.299	1	-1	-1	-1	-1.937917197	1.937917197	-1.837917197	-0.360273234	6.7491392332	7.7902962403	6.8138756692	12.087374797	0	0	0	0	0	0	0	0	0	0	0	0
100130	0.982	0	1	-1	0	0.7921419121	-0.792141912	1.3721419121	0.2315170438	10.800230949	12.409125925	18.293522566	12.656518819	1	0	0	1	1	1	1	0	0	0	1	0
100131	-0.168	2	1	-1	-2	0.1850386035	-0.185038604	-0.194961396	-0.234888048	4.4560416597	14.484945642	14.749353326	16.770106728	0	0	0	0	0	0	0	1	1	0	0	0
100132	1.704	2	-1	-1	-2	1.4744477236	-1.474447724	1.0944477236	0.8171034049	13.463075194	10.079835455	10.621858097	12.88353425	0	1	0	1	1	0	1	1	1	1	1	1
100133	-0.302	1	1	-1	-1	0.1431195556	-0.143119556	0.2431195556	0.9300901215	9.3600103354	6.6432904288	12.175854817	14.222134861	0	0	0	0	0	0	1	0	0	1	0	0
100134	-0.792	0	-1	-1	0	-1.954132381	1.9541323813	-1.374132381	-2.596864426	6.9448799766	10.915999894	5.8615126634	5.3870237034	0	1	0	0	0	0	0	0	0	0	0	0
100135	0.892	2	1	-1	-2	0.4293173804	-0.42931738	0.0493173804	0.4314697072	10.225568535	14.244743272	11.592966259	11.243881323	1	0	1	1	0	0	1	1	0	0	1	0
100136	0.815	0	-1	-1	0	0.6066101494	-0.606610149	1.1866101494	0.6208182274	12.586543736	12.036298645	13.123580181	12.564719883	0	1	0	1	0	1	1	1	0	0	1	0
100137	-0.909	0	-1	-1	0	-1.68374491	1.6837449099	-1.10374491	-0.852405083	8.5385834016	8.3207630892	4.0463025958	11.121930366	0	0	0	0	0	0	0	1	0	0	0	0
100138	1.958	3	1	-1	-3	2.0408793985	-2.040879398	1.1808793985	-0.846209675	8.1371048492	13.178969863	16.904837322	15.158574565	0	0	1	1	0	1	1	1	1	1	1	1
100139	1.579	2	-1	-1	-2	1.4580908762	-1.458090876	1.0780908762	1.2305352472	9.5435268107	8.3222376144	12.049714494	13.13045431	1	1	0	1	1	1	1	1	0	1	1	0
100140	-1.02	0	-1	-1	0	-1.051756343	1.0517563432	-0.471756343	-0.899000984	11.784409367	13.50676647	11.543489814	8.6986884188	1	0	0	0	0	0	0	0	0	0	0	0
100141	-1.172	2	1	-1	-2	-0.501119491	0.5011194911	-0.881119491	-0.172165538	11.509021488	10.318046764	13.330737705	9.5584797129	0	0	0	0	0	0	0	0	0	0	0	0
100142	0.657	3	-1	-1	-3	0.6481895599	-0.64818956	-0.21181044	1.4588035685	9.613680027	11.722172463	12.196427703	13.852632201	1	0	0	1	0	0	1	0	1	0	1	0
